"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W14*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"0 - 4 Yhteensä Kuolleet";"5 - 9 Yhteensä Kuolleet";"10 - 14 Yhteensä Kuolleet";"15 - 19 Yhteensä Kuolleet";"20 - 24 Yhteensä Kuolleet";"25 - 29 Yhteensä Kuolleet";"30 - 34 Yhteensä Kuolleet";"35 - 39 Yhteensä Kuolleet";"40 - 44 Yhteensä Kuolleet";"45 - 49 Yhteensä Kuolleet";"50 - 54 Yhteensä Kuolleet";"55 - 59 Yhteensä Kuolleet";"60 - 64 Yhteensä Kuolleet";"65 - 69 Yhteensä Kuolleet";"70 - 74 Yhteensä Kuolleet";"75 - 79 Yhteensä Kuolleet";"80 - 84 Yhteensä Kuolleet";"85 - 89 Yhteensä Kuolleet";"90 - Yhteensä Kuolleet"
"KOKO MAA";"1992W14";950;6;3;1;11;5;4;12;17;21;20;29;31;70;94;124;142;176;123;61
"KOKO MAA";"1992W15";953;11;2;2;1;3;1;8;14;19;25;29;28;75;110;119;138;176;115;77
"KOKO MAA";"1992W16";890;2;2;3;2;4;5;10;17;21;23;44;39;70;84;104;156;149;103;52
"KOKO MAA";"1992W17";926;11;0;1;2;6;7;9;13;24;28;29;45;81;86;97;151;149;113;74
"KOKO MAA";"1992W18";927;8;2;1;8;5;8;11;9;24;27;31;40;68;94;99;127;162;138;65
"KOKO MAA";"1992W19";980;12;0;0;5;7;8;10;19;23;25;28;33;73;75;114;179;167;123;79
"KOKO MAA";"1992W20";903;9;4;0;3;4;11;5;16;18;39;35;41;67;73;122;125;150;107;74
"KOKO MAA";"1992W21";912;4;1;1;3;3;6;9;14;25;26;18;33;63;94;111;137;167;132;65
"KOKO MAA";"1992W22";942;3;2;1;3;8;8;6;16;23;18;34;41;79;81;106;155;148;128;82
"KOKO MAA";"1992W23";998;7;1;2;1;8;14;6;12;19;28;33;35;85;101;112;153;172;133;76
"KOKO MAA";"1992W24";938;6;2;1;5;5;5;10;17;24;20;36;34;61;89;109;160;174;113;67
"KOKO MAA";"1992W25";942;11;2;1;3;8;6;8;25;37;30;31;33;67;85;93;137;159;129;77
"KOKO MAA";"1992W26";863;6;1;2;0;5;6;22;8;16;24;30;44;51;78;127;127;163;97;56
"KOKO MAA";"1992W27";939;10;2;3;7;3;9;5;16;21;33;27;35;53;92;133;153;162;101;74
"KOKO MAA";"1992W28";920;9;1;2;6;3;7;10;17;18;24;27;38;48;100;122;140;166;107;75
"KOKO MAA";"1992W29";893;9;0;1;1;6;6;9;14;22;33;21;50;47;89;107;149;132;125;72
"KOKO MAA";"1992W30";874;4;4;0;4;5;3;16;26;22;27;27;44;63;72;111;133;171;86;56
"KOKO MAA";"1992W31";820;8;1;1;3;3;5;6;10;21;24;25;34;47;90;91;127;149;108;67
"KOKO MAA";"1992W32";905;9;0;2;4;7;3;14;10;22;31;34;26;63;79;93;134;187;115;72
"KOKO MAA";"1992W33";886;5;0;2;6;5;2;10;13;14;31;28;36;47;101;95;130;177;111;73
"KOKO MAA";"1992W34";911;4;0;1;1;5;7;9;16;22;32;23;44;64;97;104;141;168;109;64
"KOKO MAA";"1992W35";921;7;3;3;6;1;7;12;20;22;29;24;34;71;76;107;161;156;108;74
"KOKO MAA";"1992W36";969;6;0;2;4;3;7;5;14;29;30;42;37;61;82;124;154;156;138;75
"KOKO MAA";"1992W37";942;8;3;1;4;2;11;14;19;15;25;28;38;63;103;106;162;161;119;60
"KOKO MAA";"1992W38";892;9;3;0;1;9;4;17;13;26;25;25;29;51;93;115;131;157;106;78
"KOKO MAA";"1992W39";877;3;1;1;5;5;3;8;18;23;30;28;32;65;80;115;131;153;108;68
"KOKO MAA";"1992W40";861;7;1;3;4;7;8;4;12;26;22;32;41;52;93;112;132;137;107;61
