group;week;zscore
45to64;2020-51;9.61
45to64;2020-52;11.26
45to64;2020-53;12.11
45to64;2021-01;15.49
45to64;2021-02;16.56
45to64;2021-03;16.85
45to64;2021-04;13.47
45to64;2021-05;11.58
45to64;2021-06;10.06
45to64;2021-07;8.96
45to64;2021-08;5.42
45to64;2021-09;4.29
45to64;2021-10;6.38
45to64;2021-11;5.2
45to64;2021-12;6.78
45to64;2021-13;7.91
45to64;2021-14;7.74
45to64;2021-15;9.49
45to64;2021-16;9.34
45to64;2021-17;9.11
45to64;2021-18;7.95
45to64;2021-19;5.46
45to64;2021-20;3.78
45to64;2021-21;3.31
45to64;2021-22;4.4
45to64;2021-23;2.98
45to64;2021-24;3.19
45to64;2021-25;3.13
45to64;2021-26;5
45to64;2021-27;2.75
45to64;2021-28;3.67
45to64;2021-29;5.39
45to64;2021-30;3.86
45to64;2021-31;5.78
45to64;2021-32;5.45
45to64;2021-33;5.62
45to64;2021-34;4.36
45to64;2021-35;6.74
45to64;2021-36;7.38
45to64;2021-37;3.84
45to64;2021-38;6.42
45to64;2021-39;4.33
45to64;2021-40;6.82
45to64;2021-41;8.47
45to64;2021-42;7.6
45to64;2021-43;7.66
45to64;2021-44;8.41
45to64;2021-45;9.97
45to64;2021-46;12.01
45to64;2021-47;14.1
45to64;2021-48;16.6
45to64;2021-49;16.4
45to64;2021-50;13.57
45to64;2021-51;14.17
45to64;2021-52;12.88
45to64;2022-01;10.62
45to64;2022-02;8.72
45to64;2022-03;6.9
45to64;2022-04;7.49
45to64;2022-05;7.78
45to64;2022-06;5.49
45to64;2022-07;4.62
45to64;2022-08;3
45to64;2022-09;3.22
45to64;2022-10;2.4
45to64;2022-11;2.68
45to64;2022-12;1.43
45to64;2022-13;-5.2
65to74;2017-15;-1.02
65to74;2017-16;-1.1
65to74;2017-17;1.02
65to74;2017-18;1.8
65to74;2017-19;1.39
65to74;2017-20;1.77
65to74;2017-21;-0.05
65to74;2017-22;-0.73
65to74;2017-23;-1.16
65to74;2017-24;-0.73
65to74;2017-25;2.3
65to74;2017-26;0.58
65to74;2017-27;2.05
65to74;2017-28;-0.16
65to74;2017-29;1.88
65to74;2017-30;-0.62
65to74;2017-31;0.83
65to74;2017-32;-0.24
65to74;2017-33;0.04
65to74;2017-34;-1.07
65to74;2017-35;-1.44
65to74;2017-36;-1.71
65to74;2017-37;0.56
65to74;2017-38;1.4
65to74;2017-39;0.68
65to74;2017-40;0.43
65to74;2017-41;1.78
65to74;2017-42;1.3
65to74;2017-43;-0.15
65to74;2017-44;-0.45
65to74;2017-45;-0.63
65to74;2017-46;0.87
