country;group;week;zscore
Belgium;Total;2019-33;-0.58
Belgium;Total;2019-34;0.32
Belgium;Total;2019-35;2.31
Belgium;Total;2019-36;0.01
Belgium;Total;2019-37;-0.39
Belgium;Total;2019-38;0.38
Belgium;Total;2019-39;-0.12
Belgium;Total;2019-40;1.62
Belgium;Total;2019-41;0.08
Belgium;Total;2019-42;0.11
Belgium;Total;2019-43;1.22
Belgium;Total;2019-44;-0.88
Belgium;Total;2019-45;-0.2
Belgium;Total;2019-46;-0.45
Belgium;Total;2019-47;1.34
Belgium;Total;2019-48;0.41
Belgium;Total;2019-49;0.39
Belgium;Total;2019-50;1.03
Belgium;Total;2019-51;2.03
Belgium;Total;2019-52;-0.11
Belgium;Total;2020-01;0.68
Belgium;Total;2020-02;2.39
Belgium;Total;2020-03;1.28
Belgium;Total;2020-04;0.11
Belgium;Total;2020-05;1.76
Belgium;Total;2020-06;-0.38
Belgium;Total;2020-07;1.12
Belgium;Total;2020-08;0.93
Belgium;Total;2020-09;0.36
Belgium;Total;2020-10;0.21
Belgium;Total;2020-11;0.77
Belgium;Total;2020-12;4.46
Belgium;Total;2020-13;11.32
Belgium;Total;2020-14;19.92
Belgium;Total;2020-15;22.99
Belgium;Total;2020-16;17.69
Belgium;Total;2020-17;11.3
Belgium;Total;2020-18;4.29
Belgium;Total;2020-19;4.53
Belgium;Total;2020-20;0.72
Belgium;Total;2020-21;1.53
Belgium;Total;2020-22;0.46
Belgium;Total;2020-23;-1.7
Belgium;Total;2020-24;-0.16
Belgium;Total;2020-25;-0.92
Belgium;Total;2020-26;1.08
Belgium;Total;2020-27;-1.3
Belgium;Total;2020-28;-2.38
Belgium;Total;2020-29;0.07
Belgium;Total;2020-30;-0.5
Belgium;Total;2020-31;1.29
Belgium;Total;2020-32;2.41
Belgium;Total;2020-33;12.1
Belgium;Total;2020-34;4.36
Belgium;Total;2020-35;0.13
Belgium;Total;2020-36;0.12
Belgium;Total;2020-37;-0.74
Belgium;Total;2020-38;1.18
Belgium;Total;2020-39;-0.09
Belgium;Total;2020-40;-0.02
Belgium;Total;2020-41;1.23
Belgium;Total;2020-42;2.01
Belgium;Total;2020-43;7.4
Belgium;Total;2020-44;14.15
Belgium;Total;2020-45;17.89
Belgium;Total;2020-46;14.92
Belgium;Total;2020-47;12
Belgium;Total;2020-48;8.83
Belgium;Total;2020-49;6.17
Belgium;Total;2020-50;6.94
Belgium;Total;2020-51;6.08
Belgium;Total;2020-52;4.63
Belgium;Total;2020-53;2.81
Belgium;Total;2021-01;2.9
Belgium;Total;2021-02;2.07
Belgium;Total;2021-03;2.37
Belgium;Total;2021-04;2.12
Belgium;Total;2021-05;0.77
Belgium;Total;2021-06;0.15
Belgium;Total;2021-07;1.21
Belgium;Total;2021-08;-0.57
Belgium;Total;2021-09;-1.8
Belgium;Total;2021-10;-0.1
Belgium;Total;2021-11;-0.67
Belgium;Total;2021-12;-0.28
Belgium;Total;2021-13;1.32
Belgium;Total;2021-14;1.3
Belgium;Total;2021-15;1.1
Belgium;Total;2021-16;1.97
Belgium;Total;2021-17;2.19
Belgium;Total;2021-18;3.04
Belgium;Total;2021-19;0.98
Belgium;Total;2021-20;0.73
Belgium;Total;2021-21;0.56
Belgium;Total;2021-22;0.97
Belgium;Total;2021-23;-0.29
Belgium;Total;2021-24;0.76
Belgium;Total;2021-25;-1.17
Belgium;Total;2021-26;0.81
Belgium;Total;2021-27;-0.21
Belgium;Total;2021-28;0.68
Belgium;Total;2021-29;2.11
Belgium;Total;2021-30;0.51
Belgium;Total;2021-31;0.54
Belgium;Total;2021-32;0.68
Belgium;Total;2021-33;-0.21
Belgium;Total;2021-34;-0.02
Belgium;Total;2021-35;0.97
Belgium;Total;2021-36;1.77
Belgium;Total;2021-37;-0.03
Belgium;Total;2021-38;-0.3
Belgium;Total;2021-39;0.14
Belgium;Total;2021-40;1.17
Belgium;Total;2021-41;2.98
Belgium;Total;2021-42;4.13
Belgium;Total;2021-43;3.65
Belgium;Total;2021-44;2.81
Belgium;Total;2021-45;3.71
Belgium;Total;2021-46;3.51
Belgium;Total;2021-47;4.38
Belgium;Total;2021-48;6.55
Belgium;Total;2021-49;4.9
Belgium;Total;2021-50;3.95
Belgium;Total;2021-51;2.97
Belgium;Total;2021-52;2.78
Belgium;Total;2022-01;1.55
Belgium;Total;2022-02;0.09
Belgium;Total;2022-03;1.38
Belgium;Total;2022-04;3.04
Belgium;Total;2022-05;4.14
Belgium;Total;2022-06;3.25
Belgium;Total;2022-07;2.74
Belgium;Total;2022-08;1.56
Belgium;Total;2022-09;0.46
Belgium;Total;2022-10;3.23
Belgium;Total;2022-11;2.96
Cyprus;Total;2016-13;
Cyprus;Total;2016-14;
Cyprus;Total;2016-15;
Cyprus;Total;2016-16;
Cyprus;Total;2016-17;
Cyprus;Total;2016-18;
Cyprus;Total;2016-19;
Cyprus;Total;2016-20;
Cyprus;Total;2016-21;
Cyprus;Total;2016-22;
Cyprus;Total;2016-23;
Cyprus;Total;2016-24;
Cyprus;Total;2016-25;
Cyprus;Total;2016-26;
Cyprus;Total;2016-27;
Cyprus;Total;2016-28;
Cyprus;Total;2016-29;
Cyprus;Total;2016-30;
Cyprus;Total;2016-31;
Cyprus;Total;2016-32;
Cyprus;Total;2016-33;
Cyprus;Total;2016-34;
Cyprus;Total;2016-35;1.25
Cyprus;Total;2016-36;0.39
Cyprus;Total;2016-37;0.87
Cyprus;Total;2016-38;1.05
Cyprus;Total;2016-39;-0.29
Cyprus;Total;2016-40;0.3
Cyprus;Total;2016-41;0.21
Cyprus;Total;2016-42;-0.35
Cyprus;Total;2016-43;-0.04
Cyprus;Total;2016-44;0.15
Cyprus;Total;2016-45;0.16
Cyprus;Total;2016-46;-0.13
Cyprus;Total;2016-47;-0.38
Cyprus;Total;2016-48;-0.36
Cyprus;Total;2016-49;-0.42
Cyprus;Total;2016-50;-0.76
Cyprus;Total;2016-51;0.04
Cyprus;Total;2016-52;0.42
Cyprus;Total;2017-01;0.83
Cyprus;Total;2017-02;1.2
Cyprus;Total;2017-03;0.6
Cyprus;Total;2017-04;0.71
Cyprus;Total;2017-05;0.87
Cyprus;Total;2017-06;1.03
Cyprus;Total;2017-07;0.88
Cyprus;Total;2017-08;-0.07
Cyprus;Total;2017-09;-0.09
Cyprus;Total;2017-10;-0.13
Cyprus;Total;2017-11;-0.88
Cyprus;Total;2017-12;0.57
Cyprus;Total;2017-13;-1.01
Cyprus;Total;2017-14;0.07
Cyprus;Total;2017-15;-0.85
Cyprus;Total;2017-16;0.17
Cyprus;Total;2017-17;0.08
Cyprus;Total;2017-18;-0.28
Cyprus;Total;2017-19;0.06
Cyprus;Total;2017-20;-0.46
Cyprus;Total;2017-21;0.58
Cyprus;Total;2017-22;0.38
Cyprus;Total;2017-23;0.56
Cyprus;Total;2017-24;-0.43
Cyprus;Total;2017-25;0.06
Cyprus;Total;2017-26;0.71
Cyprus;Total;2017-27;1.07
Cyprus;Total;2017-28;2.25
Cyprus;Total;2017-29;0.22
Cyprus;Total;2017-30;0.68
Cyprus;Total;2017-31;0.23
Cyprus;Total;2017-32;0.98
Cyprus;Total;2017-33;-0.03
Cyprus;Total;2017-34;0.23
Cyprus;Total;2017-35;0.28
Cyprus;Total;2017-36;-0.47
Cyprus;Total;2017-37;1.01
Cyprus;Total;2017-38;-0.75
Cyprus;Total;2017-39;0.93
Cyprus;Total;2017-40;0.35
