group;week;zscore
15to44;2021-43;2.02
15to44;2021-44;1.48
15to44;2021-45;5.25
15to44;2021-46;3.52
15to44;2021-47;6.07
15to44;2021-48;6.58
15to44;2021-49;5
15to44;2021-50;4.13
15to44;2021-51;4.19
15to44;2021-52;5.13
15to44;2022-01;4.91
15to44;2022-02;2.73
15to44;2022-03;2.02
15to44;2022-04;1.98
15to44;2022-05;2.57
15to44;2022-06;1.49
15to44;2022-07;2.57
15to44;2022-08;1.61
15to44;2022-09;1.95
15to44;2022-10;0.71
15to44;2022-11;-2.94
45to64;2017-13;-0.83
45to64;2017-14;-0.93
45to64;2017-15;-0.21
45to64;2017-16;-1.67
45to64;2017-17;1.79
45to64;2017-18;0.33
45to64;2017-19;1.54
45to64;2017-20;-0.08
45to64;2017-21;0.88
45to64;2017-22;-1.15
45to64;2017-23;-0.71
45to64;2017-24;0.64
45to64;2017-25;3.34
45to64;2017-26;-1.57
45to64;2017-27;-0.58
45to64;2017-28;1.5
45to64;2017-29;1.41
45to64;2017-30;-0.9
45to64;2017-31;2.88
45to64;2017-32;-0.05
45to64;2017-33;-2.25
45to64;2017-34;-0.61
45to64;2017-35;-0.15
45to64;2017-36;-1.24
45to64;2017-37;-0.95
45to64;2017-38;0.18
45to64;2017-39;0.57
45to64;2017-40;2.01
45to64;2017-41;1.01
45to64;2017-42;0.52
45to64;2017-43;-0.44
45to64;2017-44;-0.44
45to64;2017-45;1.6
45to64;2017-46;2.96
45to64;2017-47;1.34
45to64;2017-48;1.87
45to64;2017-49;2.55
45to64;2017-50;4.27
45to64;2017-51;4.88
45to64;2017-52;7.56
45to64;2018-01;8.95
45to64;2018-02;5.58
45to64;2018-03;6.26
45to64;2018-04;4.41
45to64;2018-05;5.02
45to64;2018-06;4.42
45to64;2018-07;7.36
45to64;2018-08;9.49
45to64;2018-09;11.7
45to64;2018-10;11.33
45to64;2018-11;8.15
45to64;2018-12;6.41
45to64;2018-13;3.05
45to64;2018-14;5.45
45to64;2018-15;3.88
45to64;2018-16;0.89
45to64;2018-17;-0.51
45to64;2018-18;-0.4
45to64;2018-19;-0.91
45to64;2018-20;0.16
45to64;2018-21;-0.09
45to64;2018-22;0.36
45to64;2018-23;0.35
45to64;2018-24;-0.41
45to64;2018-25;0.08
45to64;2018-26;1.3
45to64;2018-27;0.93
45to64;2018-28;-0.04
45to64;2018-29;1.24
45to64;2018-30;3.17
45to64;2018-31;4.82
45to64;2018-32;2.72
45to64;2018-33;-0.64
45to64;2018-34;-0.79
45to64;2018-35;-0.07
45to64;2018-36;0.18
45to64;2018-37;-1.29
45to64;2018-38;-0.18
45to64;2018-39;0.5
45to64;2018-40;1.56
45to64;2018-41;-0.43
45to64;2018-42;-1.38
45to64;2018-43;-0.53
45to64;2018-44;0.01
45to64;2018-45;0.82
45to64;2018-46;0.5
45to64;2018-47;0.28
45to64;2018-48;1.49
45to64;2018-49;1.65
45to64;2018-50;1.01
45to64;2018-51;3.94
45to64;2018-52;2.39
45to64;2019-01;5.46
45to64;2019-02;5.92
45to64;2019-03;4.86
45to64;2019-04;6.69
45to64;2019-05;7.44
45to64;2019-06;6.01
45to64;2019-07;6.48
45to64;2019-08;3.78
45to64;2019-09;5.27
45to64;2019-10;3.86
45to64;2019-11;0.67
