"cumulative_excess_mortality_x","cumulative_excess_mortality_x_date","cumulative_excess_mortality_y"
"-1847","2014-12-11","-273.5289002229408"
"-1840","2014-12-18","-241.32084192718662"
"-1833","2014-12-25","-212.19019319695508"
"-1826","2015-01-01","-201.26142141238688"
"-1819","2015-01-08","-120.57136549555344"
"-1812","2015-01-15","-52.08315821929182"
"-1805","2015-01-22","-97.70122104602251"
"-1798","2015-01-29","-123.2871146465277"
"-1791","2015-02-05","-149.6760157781664"
"-1784","2015-02-12","-144.6935820492306"
"-1777","2015-02-19","-156.17296039485177"
"-1770","2015-02-26","-113.97169292381568"
"-1763","2015-03-05","-59.988275197463736"
"-1756","2015-03-12","-88.17812695242424"
"-1749","2015-03-19","-142.5687437077902"
"-1742","2015-03-26","-193.27380948358996"
"-1735","2015-04-02","-178.50606583141985"
"-1728","2015-04-09","-150.58875032410265"
"-1721","2015-04-16","-148.96543831023973"
"-1714","2015-04-23","-103.2081448132044"
"-1707","2015-04-30","-102.02356860905081"
"-1700","2015-05-07","-103.25738739029919"
"-1693","2015-05-14","-177.89654112390235"
"-1686","2015-05-21","-230.0694698338266"
"-1679","2015-05-28","-265.0443016600203"
"-1672","2015-06-04","-331.2250167371749"
"-1665","2015-06-11","-369.1456417684809"
"-1658","2015-06-18","-339.4625587165351"
"-1651","2015-06-25","-365.94503838181447"
"-1644","2015-07-02","-294.46413539214257"
"-1637","2015-07-09","-348.9801049106858"
"-1630","2015-07-16","-382.5285228400252"
"-1623","2015-07-23","-413.2053101439243"
"-1616","2015-07-30","-461.1508778526693"
"-1609","2015-08-06","-517.5336221303286"
"-1602","2015-08-13","-492.5330082762762"
"-1595","2015-08-20","-479.322488570171"
"-1588","2015-08-27","-458.05250136065035"
"-1581","2015-09-03","-480.83379770597253"
"-1574","2015-09-10","-459.7213372143175"
"-1567","2015-09-17","-433.6989865687219"
"-1560","2015-09-24","-453.66524267373234"
"-1553","2015-10-01","-462.42018759393136"
"-1546","2015-10-08","-454.65386468134307"
"-1539","2015-10-15","-412.9362447658083"
"-1532","2015-10-22","-360.7089283060766"
"-1525","2015-10-29","-396.2787043016135"
"-1518","2015-11-05","-441.8130599088187"
"-1511","2015-11-12","-459.3377064789313"
"-1504","2015-11-19","-437.7361585468079"
"-1497","2015-11-26","-410.75137257249025"
"-1490","2015-12-03","-379.9894224015011"
"-1483","2015-12-10","-379.92515889729316"
"-1476","2015-12-17","-428.9097724378669"
