"excess_mortality_x","excess_mortality_x_date","excess_mortality_week","excess_mortality_y"
"-9197","1994-10-27","1994W43","73.78865001478653"
"-9190","1994-11-03","1994W44","9.687822851398437"
"-9183","1994-11-10","1994W45","35.53312206092858"
"-9176","1994-11-17","1994W46","103.44014502389427"
"-9169","1994-11-24","1994W47","44.52364366049426"
"-9162","1994-12-01","1994W48","41.89586167122593"
"-9155","1994-12-08","1994W49","69.66490741346809"
"-9148","1994-12-15","1994W50","57.93318600138957"
"-9141","1994-12-22","1994W51","86.79591336843339"
"-9134","1994-12-29","1994W52","134.33973385384184"
"-9127","1995-01-05","1995W01","54.641461383978935"
"-9120","1995-01-12","1995W02","117.7669625370994"
"-9113","1995-01-19","1995W03","110.77019773245615"
"-9106","1995-01-26","1995W04","112.69243450065619"
"-9099","1995-02-02","1995W05","73.56164430509784"
"-9092","1995-02-09","1995W06","114.39209172999267"
"-9085","1995-02-16","1995W07","74.18412206735002"
"-9078","1995-02-23","1995W08","69.92415046357621"
"-9071","1995-03-02","1995W09","180.58485286765165"
"-9064","1995-03-09","1995W10","111.12555609940273"
"-9057","1995-03-16","1995W11","96.4928214705883"
"-9050","1995-03-23","1995W12","128.6212135851198"
"-9043","1995-03-30","1995W13","62.434243258517085"
"-9036","1995-04-06","1995W14","40.84547096954145"
"-9029","1995-04-13","1995W15","103.75975492561622"
"-9022","1995-04-20","1995W16","122.07462572186444"
"-9015","1995-04-27","1995W17","129.6817677321028"
"-9008","1995-05-04","1995W18","167.46858581551908"
"-9001","1995-05-11","1995W19","113.31983467779196"
"-8994","1995-05-18","1995W20","132.1192873082598"
"-8987","1995-05-25","1995W21","117.75141833869372"
"-8980","1995-06-01","1995W22","209.1030779429923"
"-8973","1995-06-08","1995W23","121.06513202389021"
"-8966","1995-06-15","1995W24","106.53404491105721"
"-8959","1995-06-22","1995W25","151.4133816177888"
"-8952","1995-06-29","1995W26","101.61520785930759"
"-8945","1995-07-06","1995W27","113.0613675076753"
"-8938","1995-07-13","1995W28","152.6846189254005"
"-8931","1995-07-20","1995W29","128.4296136565357"
"-8924","1995-07-27","1995W30","124.25370323089226"
"-8917","1995-08-03","1995W31","152.12756232123786"
"-8910","1995-08-10","1995W32","62.035619148914634"
"-8903","1995-08-17","1995W33","109.97628682195352"
"-8896","1995-08-24","1995W34","96.96199217102446"
"-8889","1995-08-31","1995W35","102.01900158082253"
"-8882","1995-09-07","1995W36","104.18704625522946"
"-8875","1995-09-14","1995W37","142.51875226125435"
"-8868","1995-09-21","1995W38","203.07888352717418"
"-8861","1995-09-28","1995W39","143.94340868349627"
"-8854","1995-10-05","1995W40","62.19840519190825"
"-8847","1995-10-12","1995W41","91.93881657023883"
"-8840","1995-10-19","1995W42","90.26708065628054"
"-8833","1995-10-26","1995W43","113.29164872906279"
"-8826","1995-11-02","1995W44","88.12541689565546"
"-8819","1995-11-09","1995W45","122.88409243147532"
"-8812","1995-11-16","1995W46","43.68451871392392"
"-8805","1995-11-23","1995W47","66.64298299885172"
"-8798","1995-11-30","1995W48","41.873531548082724"
"-8791","1995-12-07","1995W49","73.48631651989012"
"-8784","1995-12-14","1995W50","88.5859985843698"
"-8777","1995-12-21","1995W51","223.27022842834356"
"-8770","1995-12-28","1995W52","321.6282291811665"
"-8763","1996-01-04","1996W01","414.7395003399794"
"-8756","1996-01-11","1996W02","333.6726620212909"
"-8749","1996-01-18","1996W03","249.48445634070663"
"-8742","1996-01-25","1996W04","176.21892045328298"
"-8735","1996-02-01","1996W05","193.9067433061399"
"-8728","1996-02-08","1996W06","165.56481549853993"
"-8721","1996-02-15","1996W07","109.1959788509547"
"-8714","1996-02-22","1996W08","93.78897939418152"
"-8707","1996-02-29","1996W09","152.31862454414556"
"-8700","1996-03-07","1996W10","119.74614227026404"
"-8693","1996-03-14","1996W11","33.01973713804091"
"-8686","1996-03-21","1996W12","68.07533525228405"
"-8679","1996-03-28","1996W13","76.83750738738308"
"-8672","1996-04-04","1996W14","34.220557005255614"
"-8665","1996-04-11","1996W15","26.12975746723464"
"-8658","1996-04-18","1996W16","87.46272057832152"
"-8651","1996-04-25","1996W17","67.11087669213703"
"-8644","1996-05-02","1996W18","80.96104498055354"
"-8637","1996-05-09","1996W19","78.89707115681756"
"-8630","1996-05-16","1996W20","95.80150895440875"
"-8623","1996-05-23","1996W21","65.55732102011791"
"-8616","1996-05-30","1996W22","84.04957458847525"
"-8609","1996-06-06","1996W23","127.16710737009146"
"-8602","1996-06-13","1996W24","73.80413950773368"
"-8595","1996-06-20","1996W25","132.8618082253463"
"-8588","1996-06-27","1996W26","76.24960290544595"
"-8581","1996-07-04","1996W27","56.88667976364695"
"-8574","1996-07-11","1996W28","88.70303702468368"
"-8567","1996-07-18","1996W29","57.64053351737141"
"-8560","1996-07-25","1996W30","156.65373586725366"
"-8553","1996-08-01","1996W31","71.71058194268062"
"-8546","1996-08-08","1996W32","90.79285086692585"
"-8539","1996-08-15","1996W33","112.89643270721353"
"-8532","1996-08-22","1996W34","117.03139385081477"
"-8525","1996-08-29","1996W35","68.22183703660255"
"-8518","1996-09-05","1996W36","54.50555798489302"
"-8511","1996-09-12","1996W37","92.93350351589208"
"-8504","1996-09-19","1996W38","61.56903892496791"
"-8497","1996-09-26","1996W39","156.48703514947317"
"-8490","1996-10-03","1996W40","79.77278887691796"
"-8483","1996-10-10","1996W41","61.52079116988955"
"-8476","1996-10-17","1996W42","75.83336238414802"
"-8469","1996-10-24","1996W43","54.81917310065194"
"-8462","1996-10-31","1996W44","-8.408327548244756"
"-8455","1996-11-07","1996W45","46.267446572241965"
"-8448","1996-11-14","1996W46","57.96453092749368"
"-8441","1996-11-21","1996W47","36.800700949138104"
"-8434","1996-11-28","1996W48","33.89176573279349"
"-8427","1996-12-05","1996W49","34.349889518432065"
"-8420","1996-12-12","1996W50","81.28196528153057"
"-8413","1996-12-19","1996W51","151.78806401833674"
"-8406","1996-12-26","1996W52","149.95998222165122"
"-8399","1997-01-02","1997W01","203.87990863033338"
"-8392","1997-01-09","1997W02","136.61922961648918"
